scenario_name,controller_name,seed,sim_duration,average_vehicle_queue_length,max_vehicle_queue_length,average_vehicle_waiting_time,max_vehicle_waiting_time,average_ped_waiting_time,max_ped_waiting_time,switch_count,shield_hold_min_hold,shield_hold_small_gain,shield_override_starvation,shield_override_demand
intersection_vehicle_heavy,adaptive_shield,0,300.0,4.783,13,1.8,32.0,10.7,105.0,17,1,1,14,2
intersection_vehicle_heavy,adaptive_shield,1,300.0,4.553,15,1.7,31.0,9.6,102.0,17,1,1,14,2
intersection_vehicle_heavy,adaptive_shield,2,300.0,4.64,14,1.7,31.0,9.9,97.0,17,1,1,14,2
intersection_vehicle_heavy,adaptive_shield,3,300.0,5.077,18,2.0,45.0,12.6,118.0,17,1,1,12,4
intersection_vehicle_heavy,adaptive_shield,4,300.0,4.463,12,1.7,29.0,10.0,99.0,17,1,1,14,2
intersection_vehicle_heavy,adaptive_shield,5,300.0,4.757,13,1.7,32.0,10.5,98.0,17,1,1,13,3
intersection_vehicle_heavy,adaptive_shield,6,300.0,4.28,14,1.5,27.0,11.3,105.0,17,1,1,14,2
intersection_vehicle_heavy,adaptive_shield,7,300.0,4.81,15,1.8,31.0,9.7,100.0,17,1,1,14,2
intersection_vehicle_heavy,adaptive_shield,8,300.0,4.227,13,1.5,30.0,10.5,118.0,17,1,1,14,2
intersection_vehicle_heavy,adaptive_shield,9,300.0,4.44,15,1.6,30.0,10.2,97.0,17,1,1,14,2
intersection_vehicle_heavy,adaptive_shield,10,300.0,4.78,15,1.8,41.0,12.2,119.0,17,1,1,12,4
intersection_vehicle_heavy,adaptive_shield,11,300.0,4.513,13,1.7,31.0,10.4,100.0,17,1,1,14,2
intersection_vehicle_heavy,adaptive_shield,12,300.0,4.903,14,1.8,32.0,9.7,100.0,17,1,1,14,2
intersection_vehicle_heavy,adaptive_shield,13,300.0,4.283,12,1.5,27.0,10.2,98.0,17,1,1,14,2
intersection_vehicle_heavy,adaptive_shield,14,300.0,4.393,12,1.6,29.0,10.4,99.0,17,1,1,14,2
intersection_vehicle_heavy,adaptive_shield,15,300.0,4.843,14,1.8,31.0,9.9,98.0,17,1,1,13,3
intersection_vehicle_heavy,adaptive_shield,16,300.0,4.433,11,1.6,32.0,10.3,100.0,17,1,1,14,2
intersection_vehicle_heavy,adaptive_shield,17,300.0,4.13,13,1.5,28.0,11.4,116.0,17,1,1,13,3
intersection_vehicle_heavy,adaptive_shield,18,300.0,4.52,13,1.6,30.0,10.2,97.0,17,1,1,14,2
intersection_vehicle_heavy,adaptive_shield,19,300.0,4.383,12,1.6,32.0,10.0,102.0,17,1,1,14,2
intersection_bursty_ped,fixed_time,0,300.0,4.603,13,7.9,68.0,3.2,83.0,11,0,0,0,0
intersection_bursty_ped,fixed_time,1,300.0,4.27,12,7.6,67.0,3.2,80.0,11,0,0,0,0
intersection_bursty_ped,fixed_time,2,300.0,3.853,11,6.6,63.0,3.1,83.0,11,0,0,0,0
intersection_bursty_ped,fixed_time,3,300.0,4.393,12,7.8,70.0,3.1,81.0,11,0,0,0,0
intersection_bursty_ped,fixed_time,4,300.0,4.393,13,7.9,70.0,3.2,83.0,11,0,0,0,0
